,1. open,2. high,3. low,4. close,5. volume
2026-03-31,240.27,242.85,236.38,242.39,4750293
2026-04-01,242.12,246.2618,240.14,243.14,4228653
2026-04-02,243.0,248.2103,241.485,248.16,3350858
2026-04-06,248.14,248.8999,244.74,246.74,3376019
2026-04-07,245.32,245.76,241.1,245.07,2356072
2026-04-08,248.63,250.0,240.8,241.74,4771476
2026-04-09,240.88,241.74,233.76,237.18,5078595
2026-04-10,239.19,239.2674,230.51,230.76,5869361
2026-04-13,233.63,238.07,231.7,237.82,5349619
2026-04-14,238.75,241.5375,238.12,240.27,3777272
2026-04-15,242.25,246.06,240.985,244.8,3879518
2026-04-16,248.75,251.22,246.125,251.0,4817500
2026-04-17,254.67,255.65,251.04,253.47,5671471
2026-04-20,255.0,258.5,252.56,253.71,5157714
2026-04-21,254.0,258.09,251.865,255.68,5584901
2026-04-22,254.51,257.54,247.21,251.86,12190197
2026-04-23,232.27,232.91,221.73,231.08,22297831
2026-04-24,231.93,232.7999,225.0,231.98,9816859
2026-04-27,229.95,231.32,227.12,228.05,8060665
2026-04-28,230.5,233.555,228.46,233.04,5162895
2026-04-29,230.34,231.48,226.82,227.1,6443724
2026-04-30,226.53,231.6,224.9,230.98,6283334
2026-05-01,234.55,235.95,231.75,232.2,3582091
2026-05-04,232.0,234.09,228.615,229.48,4003082
2026-05-05,230.16,231.0,227.15,229.03,4221889
2026-05-06,228.75,229.0,224.38,225.74,7673185
2026-05-07,227.5,231.82,227.41,231.31,5485545
2026-05-08,229.73,230.705,224.83,229.76,5332800
2026-05-11,228.66,230.23,222.55,223.55,6677186
2026-05-12,224.43,224.43,219.22,219.22,6045225
2026-05-13,218.27,218.31,212.34,214.64,8361214
2026-05-14,215.545,220.96,215.0,218.37,5906199
2026-05-15,218.2,220.91,217.615,219.3,6154450
2026-05-18,218.55,223.33,217.75,222.75,5946367
2026-05-19,224.5,227.35,221.92,222.33,5937754
2026-05-20,221.05,225.0,216.78,225.0,4858990
2026-05-21,232.58,253.63,230.935,252.97,25707791
2026-05-22,262.05,264.38,253.39,253.84,19072873
2026-05-26,254.55,254.55,245.45,250.69,9256109
2026-05-27,250.455,257.62,250.455,255.2,9275543
2026-05-28,261.0,268.89,257.0,264.22,12432879
2026-05-29,277.3,300.9999,273.33,297.8,28480996
2026-06-01,322.55,327.98,308.0,320.42,32880180
2026-06-02,313.75,332.46,310.109,329.23,17210696
2026-06-03,318.295,318.295,302.5301,305.63,13926558
2026-06-04,307.425,310.44,300.18,301.77,9608097
2026-06-05,300.0,302.3,281.0701,284.84,12509480
2026-06-08,286.44,290.5,279.43,280.82,6790639
2026-06-09,281.135,283.59,271.29,277.49,9007918
2026-06-10,273.82,280.51,271.33,272.36,5497137
2026-06-11,268.0,276.4799,266.5,274.85,7558322
2026-06-12,278.94,278.94,267.68,272.24,5748915
2026-06-15,272.0,272.25,264.8,268.71,7178779
2026-06-16,270.87,276.62,268.61,270.81,4917642
2026-06-17,266.35,268.87,261.88,262.35,5537042
2026-06-18,251.38,252.47,243.68,249.1,16619749
2026-06-22,248.43,253.31,243.81,252.22,9615393
2026-06-23,261.58,267.53,255.26,264.94,15686117
2026-06-24,261.843,265.07,256.1836,262.96,8149935
2026-06-25,267.67,268.7559,256.0,258.27,8539694
2026-06-26,258.94,273.135,258.28,271.63,9719927
2026-06-29,274.3,278.15,269.06,278.0,6464204
2026-06-30,273.21,282.5694,271.12,281.21,7458360
2026-07-01,279.66,294.49,278.96,286.25,6905811
2026-07-02,283.14,290.93,282.28,289.52,5950158
2026-07-06,288.345,300.8199,287.65,299.52,7181525
2026-07-07,305.66,311.8,300.4901,306.13,8618569
2026-07-08,300.77,303.82,295.59,302.05,7416749
2026-07-09,285.835,297.2838,284.4381,295.3,10841979
2026-07-10,297.26,298.77,287.5,287.56,3640089
2026-07-13,290.5,297.5,289.1,290.23,5024243
2026-07-14,226.365,229.92,213.22,217.07,67440873
2026-07-15,220.965,223.813,211.03,211.2,29590356
2026-07-16,208.82,219.95,204.44,219.05,22533271
2026-07-17,215.62,217.1699,210.22,212.67,13150177
2026-07-20,210.07,216.2762,208.82,213.0,9585016
2026-07-21,210.72,214.97,209.18,210.5,11954411
2026-07-22,207.68,212.3417,204.73,205.77,14606736
2026-07-23,202.64,207.55,199.19,206.65,15306010
2026-07-24,209.28,216.1,206.8,214.19,10578780
2026-07-27,217.75,219.63,215.29,216.28,8369433
2026-07-28,219.73,228.98,215.1101,227.55,13262958
2026-07-29,227.7,230.97,223.95,226.44,8806699
2026-07-30,222.0,224.86,220.2,221.74,9675157
2026-07-31,221.15,224.76,216.585,223.65,9093613
2026-08-03,228.33,228.55,224.87,226.31,7974681
2026-08-04,224.76,235.31,223.3,235.15,7537896
2026-08-05,236.1,238.9627,233.46,235.92,5726854
2026-08-06,229.61,234.47,228.44,233.43,4250062
2026-08-07,235.38,237.315,232.72,237.28,4763304
2026-08-10,235.0,240.735,234.13,236.31,7348858
2026-08-11,236.31,241.8,235.44,238.42,4468987
2026-08-12,236.95,237.46,231.68,235.98,5696182
2026-08-13,238.92,239.71,233.61,237.14,5395192
2026-08-14,238.37,239.15,233.73,234.32,4523467
2026-08-17,231.59,233.65,227.4,228.85,7564317
2026-08-18,229.73,234.4499,229.415,232.67,4650116
2026-08-19,232.26,238.615,230.51,237.16,5342567
2026-08-20,236.0,237.5,233.03,233.69,4986890
2026-08-21,233.71,238.72,233.12,235.68,3888743
