,1. open,2. high,3. low,4. close,5. volume
2026-03-31,247.91,255.48,247.101,253.79,49598091
2026-04-01,254.08,256.18,253.33,255.63,40059432
2026-04-02,254.2,256.13,250.65,255.92,31289369
2026-04-06,256.51,262.16,256.46,258.86,29329911
2026-04-07,256.155,256.2,245.7,253.5,62148008
2026-04-08,258.45,259.7499,256.53,258.9,41032772
2026-04-09,259.0,261.12,256.07,260.49,28121574
2026-04-10,259.98,262.19,259.0231,260.48,31291473
2026-04-13,259.73,260.18,256.66,259.2,36234698
2026-04-14,259.245,261.93,257.19,258.83,48370710
2026-04-15,258.16,266.56,257.81,266.43,49913510
2026-04-16,266.8,267.16,261.27,263.4,43323112
2026-04-17,266.96,272.3,266.72,270.23,61436228
2026-04-20,270.33,274.275,270.29,273.05,36590169
2026-04-21,271.5,272.8,265.4,266.17,50209755
2026-04-22,267.82,273.74,266.87,273.17,43249204
2026-04-23,275.045,275.77,271.65,273.43,33399639
2026-04-24,272.755,273.06,269.65,271.06,38157110
2026-04-27,266.09,268.36,265.07,267.61,41466762
2026-04-28,272.335,273.23,268.66,270.71,40018940
2026-04-29,267.55,271.04,267.04,270.17,30047869
2026-04-30,270.5,276.0,268.14,271.35,91848230
2026-05-01,278.855,287.22,278.37,280.14,79915442
2026-05-04,279.655,280.63,274.8601,276.83,46668401
2026-05-05,276.925,284.57,276.501,284.18,49311712
2026-05-06,281.915,288.03,281.07,287.51,58336072
2026-05-07,289.27,292.13,285.78,287.44,45224300
2026-05-08,290.01,294.76,290.0,293.32,52692761
2026-05-11,291.979,293.88,290.23,292.68,42247285
2026-05-12,292.56,295.27,292.56,294.8,45748129
2026-05-13,293.5,300.92,293.5,298.87,52684260
2026-05-14,299.82,300.45,295.38,298.21,35324922
2026-05-15,297.9,303.2,296.52,300.23,54862836
2026-05-18,300.24,300.66,294.91,297.84,34482959
2026-05-19,296.97,300.51,296.35,298.97,42243561
2026-05-20,298.18,302.8,298.08,302.25,37307876
2026-05-21,301.055,305.54,300.4,304.99,42965126
2026-05-22,306.12,311.4,305.84,308.82,43670223
2026-05-26,309.56,311.82,307.67,308.33,48000493
2026-05-27,308.33,313.26,308.3,310.85,50430919
2026-05-28,310.68,312.8,309.57,312.51,48220390
2026-05-29,311.775,315.0,309.53,312.06,70026752
2026-06-01,309.625,310.94,305.02,306.31,48849933
2026-06-02,307.46,315.45,306.685,315.2,44534716
2026-06-03,314.175,316.94,308.85,310.26,50836705
2026-06-04,313.23,313.54,309.65,311.23,44869134
2026-06-05,312.86,315.17,307.15,307.34,65310502
2026-06-08,308.739,317.4,301.17,301.54,77949082
2026-06-09,300.275,300.75,287.78,290.55,70108847
2026-06-10,290.74,294.75,287.38,291.58,52793266
2026-06-11,293.72,297.0,289.59,295.63,42572497
2026-06-12,296.03,297.14,289.62,291.13,38784789
2026-06-15,294.12,297.78,291.7,296.42,45732573
2026-06-16,295.245,300.48,293.97,299.24,39874404
2026-06-17,300.845,302.07,294.36,295.95,42745060
2026-06-18,298.11,300.57,295.62,298.01,85962201
2026-06-22,297.31,302.42,296.76,297.01,44879914
2026-06-23,297.538,301.64,294.18,294.3,52010929
2026-06-24,295.355,299.7,292.94,293.08,53081859
2026-06-25,287.4,288.8,273.75,275.15,107253659
2026-06-26,275.0,285.95,274.21,283.78,261775450
2026-06-29,286.73,288.3697,279.85,281.74,66427002
2026-06-30,281.17,289.94,280.695,289.36,65100155
2026-07-01,293.44,296.59,289.195,294.38,50164232
2026-07-02,294.12,309.42,293.68,308.63,75400626
2026-07-06,307.36,314.2,307.0,312.66,53589977
2026-07-07,315.29,315.48,310.15,310.66,42490002
2026-07-08,311.91,314.82,307.05,313.39,41323480
2026-07-09,310.51,316.53,308.16,316.22,48124490
2026-07-10,314.72,316.91,312.17,315.32,34132321
2026-07-13,317.015,323.45,315.78,317.31,43257804
2026-07-14,313.76,316.19,311.91,314.86,36336829
2026-07-15,317.615,328.73,317.32,327.5,60957644
2026-07-16,328.005,334.68,326.79,333.26,62970617
2026-07-17,331.98,334.99,329.0006,333.74,63407059
2026-07-20,333.505,333.71,323.68,326.59,53468008
2026-07-21,323.13,329.6,322.2204,327.74,41338917
2026-07-22,327.87,328.9995,323.34,325.89,38755929
2026-07-23,321.73,323.3,319.35,321.66,40840778
2026-07-24,321.79,334.37,321.62,333.02,47489415
2026-07-27,334.54,339.57,334.02,336.91,49604297
2026-07-28,340.03,342.89,335.6,340.08,51859042
2026-07-29,339.73,344.5699,337.3501,338.19,56090840
2026-07-30,333.1,334.75,329.59,333.43,74817792
2026-07-31,304.81,310.69,300.0,308.91,132489137
2026-08-03,309.58,311.8,302.56,303.42,75051951
2026-08-04,302.725,310.42,301.32,309.38,68000969
2026-08-05,309.36,311.71,305.67,311.0,49438763
2026-08-06,314.34,316.2894,309.23,312.41,46139901
2026-08-07,311.45,314.81,310.74,313.33,34437191
2026-08-10,306.83,308.26,304.61,308.26,44812503
2026-08-11,307.75,309.97,302.79,304.91,37476746
2026-08-12,305.1,305.66,300.57,302.25,41657768
2026-08-13,304.21,306.0,302.05,305.26,40349289
2026-08-14,306.0,307.49,304.3,305.93,28229375
2026-08-17,306.21,307.66,302.939,305.59,38169263
2026-08-18,307.58,311.49,305.74,310.03,53424535
2026-08-19,310.14,319.2799,309.6,316.83,50505646
2026-08-20,317.455,320.28,310.65,311.3,40959184
2026-08-21,312.05,312.38,307.01,309.35,46876815
