,1. open,2. high,3. low,4. close,5. volume
2026-03-31,638.94,651.54,637.98,650.34,152534102
2026-04-01,653.9,658.52,653.0,655.24,97841472
2026-04-02,646.42,658.2,645.11,655.83,68358713
2026-04-06,655.86,659.72,655.52,658.93,39105758
2026-04-07,656.65,659.61,651.06,659.22,69980362
2026-04-08,676.39,677.08,671.46,676.01,93606114
2026-04-09,674.84,681.16,673.77,679.91,57134445
2026-04-10,681.32,682.03,678.45,679.46,42253456
2026-04-13,677.41,686.3,676.58,686.1,54185819
2026-04-14,687.69,694.58,687.66,694.46,63480529
2026-04-15,695.26,700.28,694.2,699.94,58240384
2026-04-16,701.06,702.78,698.53,701.66,49972363
2026-04-17,706.14,712.39,705.76,710.14,70661926
2026-04-20,708.78,709.91,706.14,708.72,43546812
2026-04-21,710.28,711.275,702.64,704.08,58941384
2026-04-22,709.15,711.45,708.22,711.21,42518498
2026-04-23,709.5,712.3598,702.2803,708.45,56173990
2026-04-24,710.75,714.47,709.01,713.94,45181957
2026-04-27,713.17,715.63,712.295,715.17,33135943
2026-04-28,711.815,712.88,709.25,711.69,43117436
2026-04-29,711.0,712.2,708.37,711.58,41859227
2026-04-30,714.63,719.79,710.445,718.66,67240949
2026-05-01,721.25,724.87,720.47,720.65,43049849
2026-05-04,720.07,722.12,714.99,718.01,51950558
2026-05-05,721.77,725.04,721.4898,723.77,36933226
2026-05-06,728.16,734.59,727.82,733.83,53288940
2026-05-07,735.05,736.13,729.75,731.58,51724642
2026-05-08,734.93,738.08,734.57,737.62,47227085
2026-05-11,736.45,740.79,736.45,739.3,44023951
2026-05-12,736.89,738.84,731.83,738.18,54185273
2026-05-13,738.47,743.91,735.47,742.31,44200203
2026-05-14,743.65,749.53,743.56,748.17,45307603
2026-05-15,741.79,743.46,737.96,739.17,60410771
2026-05-18,739.83,741.415,733.39,738.65,47843865
2026-05-19,734.78,737.65,731.53,733.73,54255913
2026-05-20,735.71,741.87,733.89,741.25,43381500
2026-05-21,738.64,744.87,737.03,742.72,43332225
2026-05-22,746.24,748.94,744.48,745.64,41762006
2026-05-26,750.01,752.13,748.37,750.59,41123621
2026-05-27,750.88,751.38,748.22,750.46,42106285
2026-05-28,750.25,755.15,749.23,754.6,41562563
2026-05-29,755.9,758.08,754.69,756.48,55075739
2026-06-01,755.36,760.28,754.69,758.54,43634933
2026-06-02,757.03,760.4,756.75,759.57,31581852
2026-06-03,758.15,758.8,753.57,754.24,51402518
2026-06-04,752.1,758.31,751.47,757.09,49923036
2026-06-05,752.31,752.82,735.525,737.55,93989416
2026-06-08,743.36,745.34,738.19,739.22,49319144
2026-06-09,743.63,746.9,722.59,737.05,87683517
2026-06-10,733.39,738.38,725.33,725.43,60341349
2026-06-11,728.76,740.0,724.405,737.76,86330522
2026-06-12,740.71,744.44,735.03,741.75,57079533
2026-06-15,751.85,756.68,751.76,754.83,60176425
2026-06-16,754.55,755.44,749.88,750.33,67093142
2026-06-17,751.29,752.15,739.22,740.96,85945227
2026-06-18,747.76,748.23,743.86,746.74,80875657
2026-06-22,747.7,750.18,743.13,744.39,46628074
2026-06-23,733.81,739.63,732.3,733.58,66846780
2026-06-24,735.17,739.945,730.84,733.24,57439507
2026-06-25,738.91,739.37,729.6,734.3,54128065
2026-06-26,728.945,736.53,716.58,728.99,71033969
2026-06-29,736.525,741.56,732.09,741.0,58035228
2026-06-30,741.29,748.02,740.89,746.77,55626035
2026-07-01,745.0,749.435,742.375,745.76,47100878
2026-07-02,747.4,751.31,740.03,744.78,57505953
2026-07-06,748.74,752.41,747.41,751.28,50673310
2026-07-07,750.22,750.96,745.21,747.71,43721494
2026-07-08,743.16,746.15,739.51,745.4,43767393
2026-07-09,747.35,751.97,745.59,751.71,41441718
2026-07-10,752.05,755.42,748.1,754.95,42191313
2026-07-13,752.47,753.9105,748.0,749.17,44013628
2026-07-14,750.91,753.34,748.66,751.83,35143138
2026-07-15,754.24,755.58,750.2,754.81,43844769
2026-07-16,752.76,754.57,747.88,750.72,46409814
2026-07-17,742.08,747.29,740.8,743.29,62650961
2026-07-20,747.06,748.73,741.5103,742.09,50422324
2026-07-21,746.29,749.04,744.18,748.28,34324262
2026-07-22,746.62,750.02,746.37,747.41,32836200
2026-07-23,739.37,742.56,735.21,738.18,55437332
2026-07-24,738.51,743.72,737.29,738.93,44781983
2026-07-27,744.91,745.53,735.87,739.09,41461194
2026-07-28,739.19,742.7901,735.98,740.86,47322247
2026-07-29,739.97,742.68,729.1,729.46,70697215
2026-07-30,736.05,742.45,734.59,741.69,66811268
2026-07-31,744.68,748.895,737.68,747.03,62445899
2026-08-03,749.44,758.58,748.8,757.67,59927538
2026-08-04,760.63,773.41,760.52,771.33,69154788
2026-08-05,775.85,776.85,769.51,769.79,44689081
2026-08-06,770.21,771.82,767.46,768.56,38416896
2026-08-07,771.02,773.915,769.61,773.26,43586333
2026-08-10,772.6,775.05,771.62,773.03,39249478
2026-08-11,774.53,774.61,769.2,770.56,36740555
2026-08-12,774.71,774.9,771.28,772.49,33179126
2026-08-13,774.87,779.37,774.111,777.88,35634483
2026-08-14,778.54,778.8,775.4301,776.34,31367913
2026-08-17,776.18,776.775,772.51,772.67,34356577
2026-08-18,768.7,769.5,766.92,767.45,43920908
2026-08-19,770.36,772.47,768.1,769.06,40306023
2026-08-20,765.96,768.15,762.04,762.6,45520302
2026-08-21,766.05,767.85,764.17,765.72,39188673
