,1. open,2. high,3. low,4. close,5. volume
2026-03-31,172.67,174.38,165.97,169.66,32006724
2026-04-01,165.77,168.0,159.53,160.78,37927639
2026-04-02,164.49,166.9,159.59,160.69,25377657
2026-04-06,160.57,163.75,159.53,163.37,16344261
2026-04-07,164.22,166.24,161.77,163.91,25227501
2026-04-08,153.52,156.35,150.98,156.22,31311201
2026-04-09,156.86,159.23,154.31,155.04,25868377
2026-04-10,154.04,155.12,151.92,152.51,21065019
2026-04-13,154.27,154.62,151.28,152.64,18685605
2026-04-14,150.065,150.11,146.7201,149.24,18528163
2026-04-15,148.6,150.2315,146.9,149.01,15626519
2026-04-16,149.53,152.78,149.345,151.98,15191033
2026-04-17,144.86,146.8,141.97,146.44,28947445
2026-04-20,147.38,149.37,146.35,147.68,16354430
2026-04-21,147.37,148.8099,146.24,148.36,17515930
2026-04-22,149.365,150.68,148.18,149.5,13738700
2026-04-23,149.85,151.23,148.495,150.53,12970401
2026-04-24,149.64,150.3,146.9505,148.91,13735857
2026-04-27,149.155,151.18,147.9701,148.19,13940841
2026-04-28,151.53,152.31,149.83,150.56,15173622
2026-04-29,152.015,154.95,151.01,154.67,14669140
2026-04-30,152.43,155.69,151.34,154.33,22885900
2026-05-01,152.61,155.01,151.13,152.75,15458208
2026-05-04,152.67,154.47,149.515,153.69,14238533
2026-05-05,153.1,155.29,152.407,154.88,12494644
2026-05-06,149.07,150.33,147.09,148.69,20526977
2026-05-07,146.8,147.08,144.19,146.58,22509403
2026-05-08,145.85,146.5,143.9201,144.57,19550073
2026-05-11,146.02,149.72,146.0,149.68,14849473
2026-05-12,151.25,151.81,149.7701,150.63,16443098
2026-05-13,150.06,151.79,149.68,151.57,15772782
2026-05-14,151.9,153.1183,151.26,152.78,11331469
2026-05-15,153.75,158.0,153.0,157.92,27882407
2026-05-18,157.315,161.73,155.23,160.49,20065227
2026-05-19,161.5,163.32,159.6402,162.55,20715553
2026-05-20,161.61,163.68,156.27,156.28,18436121
2026-05-21,158.42,159.39,153.46,155.29,17061717
2026-05-22,154.03,155.5499,153.17,154.92,12948454
2026-05-26,153.5,154.55,149.47,149.81,13057760
2026-05-27,147.225,148.685,145.7528,147.9,16241133
2026-05-28,149.34,150.21,146.87,146.96,14012470
2026-05-29,146.185,146.93,144.71,145.26,27959898
2026-06-01,147.02,149.65,147.0,149.38,16732078
2026-06-02,149.025,150.83,148.5,149.56,10462402
2026-06-03,150.605,154.91,150.02,152.53,14372958
2026-06-04,152.05,153.4271,150.94,152.04,11799385
2026-06-05,152.005,152.13,149.3,149.92,16583961
2026-06-08,151.155,153.81,150.9,151.75,13870875
2026-06-09,150.91,151.13,147.78,148.91,18163527
2026-06-10,151.23,152.49,149.56,150.62,14596495
2026-06-11,152.3,152.49,146.42,146.6,17285829
2026-06-12,145.63,148.91,145.15,147.01,17713141
2026-06-15,139.74,141.98,137.72,140.92,23631398
2026-06-16,140.19,142.15,139.98,141.86,18925363
2026-06-17,141.22,142.34,140.3201,140.74,16663230
2026-06-18,138.32,138.46,135.85,137.81,48063443
2026-06-22,138.54,139.0,137.02,138.47,15783290
2026-06-23,139.46,140.39,138.5,139.73,13699424
2026-06-24,137.12,137.64,135.59,136.9,16212918
2026-06-25,135.64,138.07,134.95,137.55,13297155
2026-06-26,136.97,137.58,135.915,136.54,22684232
2026-06-29,136.58,137.39,135.3925,136.06,11972700
2026-06-30,136.48,137.3,135.33,136.72,28784045
2026-07-01,136.53,137.49,135.63,136.28,12433376
2026-07-02,137.15,139.14,136.33,137.09,13708010
2026-07-06,136.545,137.37,136.01,136.44,13915097
2026-07-07,138.56,141.74,138.13,141.69,14667799
2026-07-08,143.435,143.99,139.81,141.13,18291406
2026-07-09,139.66,140.05,137.12,137.46,14110195
2026-07-10,137.9,138.965,137.14,138.88,9753512
2026-07-13,140.92,145.23,140.485,144.51,18724339
2026-07-14,145.505,146.0,143.89,145.09,16096427
2026-07-15,145.09,145.09,142.03,144.51,13444492
2026-07-16,145.275,146.87,144.55,145.95,13518027
2026-07-17,149.03,150.0,147.17,147.36,19031354
2026-07-20,146.5,149.09,146.23,148.36,12149247
2026-07-21,149.01,151.76,148.48,151.71,13145278
2026-07-22,153.86,154.8,152.95,154.45,13788729
2026-07-23,156.6,158.57,156.06,156.89,15822786
2026-07-24,156.99,158.71,155.68,156.94,12091569
2026-07-27,153.07,155.42,152.5,154.77,13958932
2026-07-28,154.17,156.18,151.875,153.04,16299897
2026-07-29,157.72,159.0722,155.855,156.75,14581267
2026-07-30,155.09,157.78,154.525,156.97,12578058
2026-07-31,153.74,156.16,152.14,155.44,15714152
2026-08-03,153.455,155.91,152.65,155.06,14532755
2026-08-04,151.62,154.84,149.09,153.96,14347938
2026-08-05,155.035,155.04,151.1501,151.63,12227544
2026-08-06,154.22,154.87,151.84,154.84,11879075
2026-08-07,152.64,153.67,151.53,153.04,18455203
2026-08-10,154.5,160.37,154.45,159.79,19761555
2026-08-11,159.655,161.67,159.27,159.8,13744513
2026-08-12,158.55,160.23,157.56,159.75,13219468
2026-08-13,158.03,159.76,157.43,158.61,10542836
2026-08-14,159.71,161.255,159.25,160.1,10231343
2026-08-17,160.1,162.51,159.0906,161.46,12858118
2026-08-18,164.35,165.67,163.254,165.56,18952655
2026-08-19,166.065,168.21,164.66,164.77,13648940
2026-08-20,167.02,168.64,166.07,166.15,13803014
2026-08-21,166.54,168.0,164.61,165.11,14314260
